timestamp,spo2,pulse,raw_hex
2026-07-25 11:40:57.595,98,68,00 00 62 00 44 00
2026-07-25 11:40:58.674,98,67,00 00 62 00 43 00
2026-07-25 11:40:59.574,98,66,00 00 62 00 42 00
2026-07-25 11:41:00.594,98,65,00 00 62 00 41 00
2026-07-25 11:41:01.614,98,64,00 00 62 00 40 00
2026-07-25 11:41:02.574,98,63,00 00 62 00 3f 00
2026-07-25 11:41:03.594,98,63,00 00 62 00 3f 00
2026-07-25 11:41:04.614,98,63,00 00 62 00 3f 00
2026-07-25 11:41:05.574,98,63,00 00 62 00 3f 00
2026-07-25 11:41:06.594,97,63,00 00 61 00 3f 00
2026-07-25 11:41:07.623,97,64,00 00 61 00 40 00
2026-07-25 11:41:08.659,97,64,00 00 61 00 40 00
2026-07-25 11:41:09.579,97,64,00 00 61 00 40 00
2026-07-25 11:41:10.614,97,64,00 00 61 00 40 00
2026-07-25 11:41:11.649,97,64,00 00 61 00 40 00
2026-07-25 11:41:12.685,97,63,00 00 61 00 3f 00
2026-07-25 11:41:13.604,97,63,00 00 61 00 3f 00
2026-07-25 11:41:14.639,97,63,00 00 61 00 3f 00
2026-07-25 11:41:15.674,97,63,00 00 61 00 3f 00
2026-07-25 11:41:16.594,97,63,00 00 61 00 3f 00
2026-07-25 11:41:17.629,98,63,00 00 62 00 3f 00
2026-07-25 11:41:18.665,98,63,00 00 62 00 3f 00
2026-07-25 11:41:19.584,98,63,00 00 62 00 3f 00
2026-07-25 11:41:20.620,98,63,00 00 62 00 3f 00
2026-07-25 11:41:21.654,98,63,00 00 62 00 3f 00
2026-07-25 11:41:22.690,98,64,00 00 62 00 40 00
2026-07-25 11:41:23.610,97,64,00 00 61 00 40 00
2026-07-25 11:41:24.760,97,65,00 00 61 00 41 00
2026-07-25 11:41:25.680,97,65,00 00 61 00 41 00
2026-07-25 11:41:26.600,97,65,00 00 61 00 41 00
2026-07-25 11:41:27.635,97,66,00 00 61 00 42 00
2026-07-25 11:41:28.670,97,66,00 00 61 00 42 00
2026-07-25 11:41:29.705,97,66,00 00 61 00 42 00
2026-07-25 11:41:30.625,97,67,00 00 61 00 43 00
2026-07-25 11:41:31.659,97,67,00 00 61 00 43 00
2026-07-25 11:41:32.695,97,66,00 00 61 00 42 00
2026-07-25 11:41:33.615,97,66,00 00 61 00 42 00
2026-07-25 11:41:34.650,97,66,00 00 61 00 42 00
2026-07-25 11:41:35.686,97,65,00 00 61 00 41 00
2026-07-25 11:41:36.720,97,65,00 00 61 00 41 00
2026-07-25 11:41:37.640,97,65,00 00 61 00 41 00
2026-07-25 11:41:38.675,97,65,00 00 61 00 41 00
2026-07-25 11:41:39.710,97,64,00 00 61 00 40 00
2026-07-25 11:41:40.630,97,64,00 00 61 00 40 00
2026-07-25 11:41:41.665,97,65,00 00 61 00 41 00
2026-07-25 11:41:42.700,97,65,00 00 61 00 41 00
